Reference, Value, Footprint, Order Code
D618,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
TP601,TestPoint,EPS_v3_Library:TESTPOINT_5013,5013
C602,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C603,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C610,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C611,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C612,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C621,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C620,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C619,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
